topic,query,chunk_id
-1,what is rba,ca869ae1ed3f5021cb5b2a0b78cc846c
-1,was ronald reagan a democrat,ebd6ebdb7fbbb0ae0e3248151cb73a2c
-1,how long do you need for sydney and surrounding areas,312128ddec1425cb40e059ba2f521eff
0,price to install tile in shower,88ff1f6cde4ca8af5b3046d56d029a9b
2,why conversion observed in body,b639dba25e9a060b549d8430ea807aea
2,where are the lungs located in the back,3fd0aabc0e8f2f53be360044b89f3887
0,cost to get a patent,e4d9b1ab17aff7ce0949fa13b9516e2c
-1,best tragedies of ancient greece,b0ddd6c64362083fadb1119253deb5f1
15,what is a conifer,43da87d27d9adc823d9e9654ef0a4a4a
10,in animals somatic cells are produced by and gametic cells are produced by,4ff0ed20afce65c76bdb0df809ef5025
10,in animals somatic cells are produced by and gametic cells are produced by,0f556defd6442767c1fee0e729f942fb
18,remembering the name of the author who wrote the cat in the hat,e52d528e561f1a0da3843c4cfdb52e61
11,how long cooking chicken legs in the big easy,0eee30da5345ccc9fd7828cc7c395e0e
0,average cost of heating per square foot,fb8784842de7d884e316ff5183326240
9,is mount pinatubo made of granite or basalt,c04daa72d1ab49ccc5e8f4823ed30af1
0,concrete pads cost,25ee6d24c8b85d058240da883888cadf
12,what kind of organism is a black damsel,08501eddc79ee4ef6d8e70aaf5cf40f3
-1,who coined the phrase it is what it is,1e52ab59cb3805dbb9443f10c31633ee
9,what is oilskin fabric,8aad32c93e8e50f0a1b7475edd592c2e
1,how long is german measles contagious,175e46458e8c42b91eff28bd8c223535
-1,what is a camerata,286d29b9aeb378b60ba5f35750e72e02
11,how long does it take to bake a pound cake,8609d2b188b6161a040282af0f529b2a
11,how long does it take to bake a pound cake,1afc2f93694f49135dae8b94157182fe
1,what is the maximum dose of subutex,becb007a887bbe0532d1e2a48dc5b66c
0,salary difference in same team,9609b93e8cc1a8d6c369f2a52fc139b5
15,what was tet,b3df45ea079e846b846f553d957f99d9
-1,what energy is used in photosynthesis,86a54605004ebc6d0516afc4bbe08cc1
2,"The smallest blood vessels in your body,where gas exchange occurs are called",72ddd4f227a453ee48e9f6dee12e608d
-1,what is rappelling,5c4ded18120d0324d5c698b697320a9e
6,what does a brewery representative do,821b47aa3409842ce5c7920918489ce3
-1,how long will i be in hospital after a gallbladder surgery last,f9dfd5f65309e0e760fc72b81f237544
1,at what age does medicare begin,45ce846881693e53b16f7768445954ed
0,Adoption fees for rabbits,d4427da7fed9b40a865014380fa8cd35
-1,what is a diabetic kidney,f78cdaa48a0e7a6a302bd07dd01bf43a
17,why is james madison father of constitution,dd92871032399aed1505d99a3385ae19
-1,what temp does meat need to be cooked to,8cf163eec6242ec31b3c689a07709445
6,what is a mobile analog phone,d5c7a5fc26e80ce32c39587bf2e516d4
-1,traits that are derived from a common ancestor are said to be,5dce884e7da2fdd8c66667b8a135498c
0,residential solar cost,72b04354b80bca3433528ab5e9882211
0,irs late penalty fees,6c920547285f3e51873bbc7f25833d0d
-1,what is the discriminant of an equation,fe9e7d521a41651c5fe8c90a21390824
5,gayla name meaning,d918f96082e24ab785a85c872a21eda5
-1,what animal is a possum,027f5b7c3a1ac7f680e521c70c54a895
-1,what animal is a possum,61b5a404724da9defa5a5c91d2626e5a
-1,types of bacterial respiration,9d66649f393b2c290bd0968fcad04ade
-1,what are monocytes,0f612312a840f9dc47348558d9553a2b
0,interior decorator cost per hour,8ffc850cd88f8cf0eb95e0f46234a1da
0,interior decorator cost per hour,ab07c30ef516a1138eed4c71b0ab6f98
0,certified child life specialist average salary locally,43404303ae16da6d15cf127503fd43c6
-1,What Kills Scorpions Naturally,37f06939bae2d740690076b81f57563f
5,what is the meaning of powhiri,623a2fe69c0be3442a172b8a731d652e
-1,Burly Man Definition,38133de3f69d426b1c9bf1940863196c
6,do game shows pay their contestants,13bd4f7ecba9f7f4dd7d32e668b95a7a
3,diseases caused by clostridium,a0b974c8a1cc1dc3d32440b25290583a
0,what is the salary of a person with a biology degree,7f189d7e32c5f4534c3c71b8cbd872e3
0,what is the salary of a person with a biology degree,f0762ad5462776165e742c8e6fa32d62
0,what is the salary of a person with a biology degree,d92f6f5928ca75193ffc8adb9a965a30
4,how tall is jack griffo,e07691ee42c25a45cba89fb03ef9a8fe
-1,what is meant by pneumatics,7b13fdfc16c00957359b763ac3a1f0e0
-1,what is a laryngocele,8edda02fd506aa2dab294ddf5815ea4e
1,what age can a child go swimming alone,56cf6dede952d3dfc79f4849a9470b78
-1,what kind of coffee pods does delonghi use?,31755b245e1efb2143cfef859aa4bad1
-1,why choose range or interquartile range,c320bd3559023b9bc7ba48f269889edb
3,what are liver spots caused by,f6d77b3b219820bde24d6997bab14ebc
3,what are liver spots caused by,bc1f7b447adde50e39205342501b7649
3,what are liver spots caused by,c221d3df40bbc52d488390445f9fcbd3
18,History of Microchip Timeline,10cca5014e88e476320316f56dd9089e
1,medicare conditions of participation emtala,c80a60a36b7588ea36f31336296f868b
7,does peanut butter contain cholesterol,14515e5c6a8ef95863d1e8ed6693c794
-1,can you take left hand lane to turn right on a dual carriageway roundabout,8d713e0cb73368909e23572040b63c68
1,what does the oad survey expert level color mean,63515faf6a3e1c69564583d876f243ec
2,example of involuntary muscle tissue is,c15ee4c01c4d187ea1260a07a6f78e1d
-1,what is slime,a2e2f5bdfae61dcf6a1a5a2aed1a21e1
-1,how to make a poached egg without an egg poacher,c93d8210fb49597312d492cce1a45a11
-1,how to make a poached egg without an egg poacher,828a65c57b0d45ae35944c2fa7337c51
14,what is a harrier,a487494baa560524950f55a09b76bad6
19,how long should a drive thru take,d5f4f5a0c3a286595a490a21b7b7e98c
-1,what is plasmalyte,86c025c37f5eec0494c8b06985522d1f
6,what is a goods receipt,84535cfa37bad823afdffe98a3834400
2,cortical functions of the brain,32404647e9cff82fe5e640a1617377d6
-1,what is conduction,d649f2089bcb19892c4217bbf1620059
5,what is a tilde accent,90b4d8ef74885fe1eaa3c9826b1abaf2
13,is armed assault a felony,b0a5a1a60278429d6368f8d62372b704
3,carpal tunnel symptoms,9977b53b292c225189237ae5c56204d1
5,meaning of name tasneem,329aa1b81723dd2e98de4802096f20bb
-1,why is the kilauea volcano a shield volcano,1205bbbd7b48fcdd97dd5a53a6bb16da
-1,how to make a gold color with paint,cab09de66694a0d0ff94b3b6266c7753
-1,what is carp fish,058c01c0e027e3061acd37ddde128424
-1,how long can you leave a cooked meal in the fridge,d5e803806bc1323c78a8bb6beba4f8bd
8,average sea temperature alcudia,7d76abb6536dadee62406e15fff515bc
8,average sea temperature alcudia,aaf8778fd7cbf8f3dad0c5eb7756dbfc
12,characteristics sporophyte plants examples,4308b899f4195aba3c565ba8dc5b5554
3,what type of hepatitis causes cirrhosis,3f03eac8c0bfe4cafa88d13d83219dd6
5,is silverbeet the same as chard,423ac6e13d475df9807a9fea4bc90824
-1,cal water phone number torrance CA,cc93f706b3de5c250be9fe76f75938c6
9,what are humans made of chemically,cc9b8c991782d31c9e26d42630441e2f
-1,what is sugar soap,e77ea90ab17d50da8567d24012a295bf
15,conchae definition,30077b4b0207e71a0a13ee31871e3e50
15,conchae definition,cebd8b74f746ef610ce50557b5d43bb3
8,temperature of neptune in fahrenheit,45888807f1d9b9e84990546d8998a02e
13,what amendment limits the terms a president may serve,f72201c3a74e34af84c210e2e6646eec
9,what is palladium metal,1c904b1ccfcb53940a8fbd5f7e18275c
3,what is the cause of conjunctivitis,6dd2c729f0517f4937555d4432ce2cdd
3,what is the cause of conjunctivitis,212498965c53823a7c393755dd14cfbf
0,yearly cost for lumosity,859ce3de1fb76523ae115f9db09cc27b
-1,watchdog.sys what is,6b82ae813269708fd80f52c45bc15594
-1,what is a bak file,914c0c7cee62d2cebed4797bcabe66d4
0,How much will it cost to go to college to become a detective,0cab1d7b21aba2ffb9e8b75db95ea996
13,trust amendment term,119c9a8aeaccca295a22d3d33d23c3ab
13,trust amendment term,dc5c673913b60466d5bf3d57073f97e9
-1,what is kuchen,353874ea1436b36c04a06f49af3a6dfe
1,aleve maximum dose,b3ba5e985ca74f82cc394c70c174d803
5,caito name meaning,f4cd725d742976e460bc82e6f5ef10d4
9,i-type granite definition,f730acd92704cb250b60b0aafe1e6815
0,net worth of average american household,de4c2920419b1b3debf495f553a57701
14,what is haemolytic anaemia,41c5bae6b3c4ec5aa5108c9763413d64
-1,what is a pressure receptor,f85444f4df46ea9480a443d6f37f89c6
3,what to write in a card about illness,7987f64ccb66adb8343f48405b40a43e
1,how long does it take for a letter to arrive in a different state,d52a6d350f95be8215220135a7829b24
17,what was true of the desegregation of the armed forces under president truman,793611791e32a92f2b6fda730095ef02
0,cost of a masters degree in education,09d4736e0ff53695961707cb901ae5e8
1,how can i tell what glasses look good on me,634472a1c6be3d0e358ff062a5b93450
-1,describe parkinson disease movement,3b316145d20c5c3580915d5e8aec074a
0,how much will closing cost be for the buyer,4adb42eb8a077855f8cdc3fb59ae0e54
0,rear struts replacement cost,83e6cdeab9c44e961a518d3a85f7433b
-1,are springtails harmful,1abe27a0ae94117714431434e9feb2cb
2,what part of the brain is dopamine produced,0d1ab1d6000ff35cd51e60e64b30eb36
-1,what is a cheeky nandos,2d1e59336302e1c2f0991a5ff20b13c8
-1,how big is a regular shot glass of liquor,40c21bb4f0c78590f116d9aeb1399a85
-1,what are zodiac boats made of,561e92df19b0f813b502b6a11cbd33b3
-1,how long does a chipped collarbone take to heal,b1003c93ecc243e6409d57680b86c73a
5,where does the surname pickering originate,4455c59e71d949104264fa761286a8bb
0,solar cost in arizona,d9ded29567d7d6c5ebb39f3720c16cbc
-1,usaa routing number,201f79164e17c3b90fda28ec807923e6
7,what are the foods rich in vitamin b complex,4c8471c6ad66c4329ec6e0162aaa5901
1,safe dose range help,31645d7d0125ecc164a8c9d48c5d0e10
3,what causes zoster shingles,19f2b9816cdd485306d59d487a3f5806
-1,what time of day do i install package bees,c929a845f0c682d8c2d87f566bb8e8f2
6,what is an investment banker,d12333e13f32613037ef3f994ca40565
-1,how fast do weigela grow,168aa99ee69c1a11b594cbdf361bb808
4,minimum height of a motorway bridge,382e36a5cb4916bc895e4a7638b9b3d5
7,are angora goats good for meat,18023b77df0394e2ddf5c799f949cdb4
7,are angora goats good for meat,6fa7bbbe3cc8ebee20d336aa9794a048
1,does visa signature have roadside assistance,353262f97e7ed5fd1f05dac7afb9b378
7,why can't you eat pineapple when pregnant,ceee69a26091fd7ba54d9d4795e32c65
-1,what was the reason that the tea act passed,1bb6443cd5964d71c30ebaef6fab1434
4,can we skip amicalola falls to get to springer mountain,3e7096f3f0628c2fcd71cb804be192a3
16,Is Tramadol A Narcotic or Opiate,ea113d045a95ca8b22c5d490ac5b65ce
16,Is Tramadol A Narcotic or Opiate,020c55d3bca349c40d0b7c269c734d71
-1,convert cups to pounds confectioners sugar,ee0b05de6fbad878e3669a8ff2e60d87
1,what is an ESR level on a blood test?,e49c7e7f3941c31fd18e9d264fcb1246
6,can i update the iphone software then back it up from my previous phone,f79059bc1b632a0e23605b8c51d55d79
-1,who is putin,546bdab9a0da550852163a00afaae025
